Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
17,kan,sdg,0,1469.1100000000001,1461.3999999999999,72.19999999999999,3252,2036,14,1,1
4,rai,mia,0,291.64,291.6,13.500000000000002,828,633,5,0,0
6,rai,sdg,0,399.36,399.3,19.200000000000003,1135,749,5,0,0
7,rai,crd,0,473.47,473.4,22.1,1377,872,6,0,0
8,rai,cle,1,547.8000000000001,547.6999999999999,25.700000000000003,1644,911,6,0,0
9,rai,sea,1,613.8100000000001,613.6999999999999,27.800000000000004,1821,1060,6,0,0
10,rai,den,0,682.5600000000001,682.4999999999999,29.800000000000004,2174,1178,8,0,0
11,rai,sdg,1,743.71,743.6999999999999,33.50000000000001,2354,1298,8,0,0
12,rai,kan,0,818.6500000000001,818.5999999999999,39.50000000000001,2571,1394,8,1,1
13,rai,ram,1,860.9200000000001,860.8999999999999,42.400000000000006,2747,1566,8,0,0
14,rai,sfo,0,1000.6500000000001,999.6999999999998,45.10000000000001,2898,1663,10,1,1
15,rai,kan,1,1063.89,1062.8999999999999,49.70000000000001,3193,1756,11,0,0
16,rai,buf,0,1152.6200000000001,1151.6,53.60000000000001,3501,1769,13,1,1
17,rai,den,1,1209.3300000000002,1208.3,57.30000000000001,3810,1911,14,0,0
4,sdg,jax,0,458.29,458.3,9.3,914,389,6,3,1
5,sdg,nyj,0,581.95,582.0,13.4,974,480,8,4,1
6,sdg,rai,1,701.5300000000001,701.6,16.9,1256,594,9,5,1
7,sdg,kan,0,781.8400000000001,781.9,21.2,1467,748,9,0,0
8,sdg,den,1,873.8600000000001,873.9,25.299999999999997,1753,887,9,0,0
9,sdg,mia,1,898.5400000000001,898.6,27.9,2062,1019,9,0,0
11,sdg,rai,0,986.4100000000001,986.5,31.7,2224,1090,10,1,1
12,sdg,ram,0,1088.73,1084.4,37.5,2434,1197,13,2,1
13,sdg,rav,1,1201.55,1197.2,41.1,2659,1322,13,3,1
14,sdg,nwe,0,1272.19,1267.8,44.2,2969,1409,15,0,0
15,sdg,den,0,1334.44,1330.0,47.0,3195,1520,15,0,0
16,sdg,sfo,1,1415.8400000000001,1411.4,51.1,3287,1875,18,1,1
17,sdg,kan,1,1472.95,1468.5,55.6,3427,1986,18,0,0
5,ram,phi,1,358.7,358.7,16.799999999999997,769,610,6,0,0
6,ram,sfo,0,421.89,421.9,20.699999999999996,1112,699,7,0,0
7,ram,sea,0,561.47,554.5999999999999,24.499999999999996,1404,870,7,1,1
8,ram,kan,1,629.5500000000001,622.6999999999999,28.9,1619,1010,8,0,0
9,ram,sfo,1,673.6500000000001,666.8,32.3,1802,1090,10,1,1
10,ram,crd,1,730.46,723.5999999999999,35.5,2109,1118,11,0,0
11,ram,den,0,831.11,824.1999999999999,39.5,2478,1146,13,1,1
12,ram,sdg,1,887.59,880.6999999999999,44.0,2760,1274,16,0,0
13,ram,rai,0,1002.5500000000001,995.6999999999999,50.6,2943,1335,21,1,1
14,ram,was,1,1133.04,1126.1999999999998,55.0,3122,1362,23,2,1
15,ram,crd,0,1189.72,1182.8999999999999,58.5,3253,1505,23,0,0
16,ram,nyg,0,1298.7,1291.8999999999999,63.8,3639,1633,23,0,0
17,ram,sea,1,1359.68,1352.8999999999999,66.0,3861,1765,25,0,0
4,mia,rai,1,328.12,328.1,20.4,860,429,8,1,1
6,mia,gnb,0,410.45,410.40000000000003,25.299999999999997,1108,550,8,0,0
7,mia,chi,1,531.8,531.2,29.499999999999996,1280,602,11,1,1
8,mia,jax,1,602.56,602.0,35.699999999999996,1481,778,14,2,1
9,mia,sdg,0,718.8499999999999,718.3,39.49999999999999,1609,828,18,3,1
10,mia,det,1,797.4699999999999,796.9,42.099999999999994,1897,891,19,0,0
11,mia,buf,0,908.0099999999999,907.4,47.3,2080,945,19,1,1
12,mia,den,1,1011.4799999999999,1010.9,51.9,2329,1146,20,0,0
13,mia,nyj,1,1087.02,1086.4,56.0,2378,1423,21,1,1
14,mia,rav,0,1180.77,1180.1000000000001,59.9,2642,1606,22,0,0
15,mia,nwe,1,1250.94,1250.3000000000002,63.199999999999996,2929,1714,23,0,0
16,mia,min,0,1368.54,1367.9,67.0,3167,1833,24,1,1
17,mia,nyj,0,1450.54,1449.9,76.0,3557,1937,25,0,0
4,min,atl,0,322.67,322.6,16.8,964,453,4,1,1
5,min,gnb,1,365.28000000000003,365.20000000000005,21.200000000000003,1128,609,5,0,0
6,min,det,0,401.48,401.40000000000003,25.000000000000004,1283,709,5,0,0
7,min,buf,1,451.32000000000005,451.20000000000005,30.400000000000006,1538,827,9,0,0
8,min,tam,1,532.2700000000001,532.2,34.800000000000004,1697,893,11,1,1
9,min,was,0,618.8800000000001,618.8000000000001,38.50000000000001,1922,1015,12,2,1
11,min,chi,1,693.4300000000001,693.4000000000001,44.50000000000001,2252,1153,14,0,0
12,min,gnb,0,771.6400000000001,771.6000000000001,49.00000000000001,2459,1308,14,0,0
13,min,car,0,888.4100000000001,888.4000000000001,52.800000000000004,2629,1486,15,1,1
14,min,nyj,0,1004.23,1004.2,56.900000000000006,2871,1654,17,2,1
15,min,det,1,1085.99,1086.0,60.50000000000001,3024,1734,17,0,0
16,min,mia,1,1196.73,1196.7,64.80000000000001,3407,1844,19,0,0
17,min,chi,0,1283.81,1283.8,68.50000000000001,3572,1943,19,1,1
4,nwe,kan,1,341.67,341.6,15.7,742,519,8,0,0
5,nwe,cin,0,451.49,451.40000000000003,20.5,983,598,11,1,1
6,nwe,buf,1,589.38,589.3000000000001,22.4,1251,666,14,2,1
7,nwe,nyj,0,692.81,692.7,26.599999999999998,1456,884,14,3,1
8,nwe,chi,0,851.14,839.0,30.4,1687,1037,16,4,1
9,nwe,den,0,948.51,936.4,33.0,2116,1080,18,5,1
11,nwe,clt,1,1033.51,1021.4,38.6,2419,1099,19,6,1
12,nwe,det,0,1127.5,1115.4,43.1,2663,1190,20,7,1
13,nwe,gnb,1,1229.11,1217.0,47.800000000000004,3011,1320,20,0,0
14,nwe,sdg,1,1319.26,1307.2,50.900000000000006,3174,1373,21,1,1
15,nwe,mia,0,1412.65,1400.6000000000001,54.60000000000001,3482,1449,23,2,1
16,nwe,nyj,1,1484.5,1472.4,58.10000000000001,3673,1565,24,3,1
17,nwe,buf,0,1550.22,1538.1000000000001,62.70000000000001,3837,1669,25,0,0
4,nor,dal,1,398.18,398.2,22.8,1090,494,1,0,0
5,nor,tam,0,468.32,468.29999999999995,27.6,1338,560,2,1,1
7,nor,det,1,558.83,558.8,31.1,1623,619,4,0,0
8,nor,gnb,0,701.8000000000001,696.0,37.300000000000004,2025,708,7,1,1
9,nor,car,1,793.34,787.5,40.1,2147,817,9,2,1
10,nor,sfo,0,874.0600000000001,868.2,44.5,2333,961,10,0,0
11,nor,cin,0,977.2600000000001,968.9000000000001,47.4,2552,1147,10,0,0
12,nor,rav,0,1094.0700000000002,1085.5,53.4,2786,1362,11,0,0
13,nor,pit,1,1255.1000000000001,1224.4,58.9,3221,1465,13,1,1
14,nor,car,0,1323.3400000000001,1292.6000000000001,64.3,3447,1736,13,0,0
15,nor,chi,1,1462.0000000000002,1428.7,67.5,3600,1861,16,1,1
16,nor,atl,0,1530.6600000000003,1497.4,70.7,3922,1942,16,0,0
17,nor,tam,1,1590.6400000000003,1557.4,73.7,4019,2125,17,1,1
4,nyg,was,1,370.66,370.6,14.1,1018,405,9,2,1
5,nyg,atl,0,474.55,474.5,17.7,1325,495,10,3,1
6,nyg,phi,1,552.23,552.2,21.3,1570,698,12,0,0
7,nyg,dal,1,668.96,668.9000000000001,25.3,1837,854,13,0,0
9,nyg,clt,0,755.1,755.0000000000001,29.8,2182,952,13,0,0
10,nyg,sea,1,835.78,835.7000000000002,33.0,2342,1302,16,0,0
11,nyg,sfo,0,870.97,870.9000000000002,36.1,2527,1450,17,0,0
12,nyg,dal,0,982.22,982.1000000000003,38.9,2793,1569,18,0,0
13,nyg,jax,1,1079.03,1078.9000000000003,42.199999999999996,2933,1687,18,0,0
14,nyg,oti,1,1154.76,1154.6000000000004,46.9,3079,1748,21,1,1
15,nyg,was,0,1271.79,1271.6000000000004,49.1,3307,1892,22,2,1
